product_name,href,price
Apple iPhone 11 (64GB) Green - Renewed,https://www.google.com/url?url=https://www.apple.com/in/shop/go/product/MPUF3%3Fcid%3Daos-in-seo-pla-iphone&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECPwN&usg=AOvVaw1PPOXqlb1DE0MuEZd_YLrc,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1251"")>"
"Apple iPhone 14 Pro Max (128 GB, Deep Purple)",,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1252"")>"
Apple iPhone 12 Mini 64 GB Blue,https://www.google.com/url?url=https://www.reliancedigital.in/apple-iphone-14-pro-128-gb-silver/p/493177781%3Fsrsltid%3DAfmBOopNy61soEnG2Smc_exdBVNUuf2FXNP2mjHBaNZjdtvTkGNsVy230yk&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECIwO&usg=AOvVaw1Ic_ltzc6yUe3Uk69hGumI,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1253"")>"
iPhone 14Pro Max Unlocked 256GB(Refurbished),https://www.google.com/url?url=https://www.reliancedigital.in/apple-iphone-14-pro-128-gb-silver/p/493177781%3Fsrsltid%3DAfmBOopNy61soEnG2Smc_exdBVNUuf2FXNP2mjHBaNZjdtvTkGNsVy230yk&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECI0O&usg=AOvVaw0vV-eV6E1xN9SQDUo1P_hv,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1254"")>"
Apple iPhone 13 Pro Gold by Cashify,,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1255"")>"
Apple iPhone 8 Space Gray by Cashify,https://www.google.com/url?url=http://www.flipkart.com/apple-iphone-12-mini-white-64-gb/p/itmf3b16d1640898%3Fpid%3DMOBFWBYZBH4CEC4C%26lid%3DLSTMOBFWBYZBH4CEC4CCKUB0C%26marketplace%3DFLIPKART%26cmpid%3Dcontent_mobile_8965229628_gmc&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECJ0O&usg=AOvVaw3OmbA25kBjXaddDR8Eoat2,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1256"")>"
Apple iPhone SE (32GB) Space Gray,https://www.google.com/url?url=http://www.flipkart.com/apple-iphone-12-mini-white-64-gb/p/itmf3b16d1640898%3Fpid%3DMOBFWBYZBH4CEC4C%26lid%3DLSTMOBFWBYZBH4CEC4CCKUB0C%26marketplace%3DFLIPKART%26cmpid%3Dcontent_mobile_8965229628_gmc&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECJ4O&usg=AOvVaw1SsCES4-3PEnc4uZwo6DbG,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1257"")>"
Buy Apple iPhone X - Renewed,,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1258"")>"
Apple iPhone 12 Refurbished Fair 4 GB 256 GB,https://www.google.com/url?url=https://www.shopwish.in/product/iphone-11-64gb-white/%3Fsrsltid%3DAfmBOor0lTld0pOYQacgK7hpw28l6egbQx7nh-DnA2BHBZ30TbvN8X8juQY&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQgOUECKwO&usg=AOvVaw1e0f8lL36n6AbMPyp0sHfv,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1259"")>"
Apple iPhone 13 Pro 256GB Refurbished,https://www.google.com/url?url=https://www.shopwish.in/product/iphone-11-64gb-white/%3Fsrsltid%3DAfmBOor0lTld0pOYQacgK7hpw28l6egbQx7nh-DnA2BHBZ30TbvN8X8juQY&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQgOUECK4O&usg=AOvVaw1kmT6DbIcszLqqp8OjS4kL,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1260"")>"
iPhone 14Pro Unlocked 128GB(Refurbished),,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1261"")>"
"iPhone 11,128GB Purple (Refurbished)",https://www.google.com/url?url=https://www.triveniworld.com/products/apple-iphone-11-128-gb-white-renewed%3Fvariant%3D47362877653289%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoqEff-O6oRm2oE8NaXzBIxw0lZHqqMZ0DBit4XFrw3G6ETq2ow4b6g&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQgOUECLsO&usg=AOvVaw1zF9Nl2116t6zDp4GHVxoe,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1262"")>"
Apple iPhone 12 Pro Max - Refurbished,https://www.google.com/url?url=https://www.triveniworld.com/products/apple-iphone-11-128-gb-white-renewed%3Fvariant%3D47362877653289%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoqEff-O6oRm2oE8NaXzBIxw0lZHqqMZ0DBit4XFrw3G6ETq2ow4b6g&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQgOUECL0O&usg=AOvVaw25ImGLGwjOkexI1s6lqklk,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1263"")>"
Apple iPhone 13 (128 GB) - Green,,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1264"")>"
Apple iPhone 11 64GB - Refurbished mobile with 1 months warranty,https://www.google.com/url?url=https://www.apple.com/in/shop/go/product/MPUR3%3Fcid%3Daos-in-seo-pla-iphone&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiQyqahpMaEAxWeTWwGHV8gCAQQguUECMwO&usg=AOvVaw27dkBjVIEf4qN57MmZ6H52,"<selenium.webdriver.remote.webelement.WebElement (session=""c685d4c775ca8b8fd36bfd434cae349c"", element=""f.935C78C7558860BCFF417BD943846493.d.8DB939DFB31DB2F1D1F73D33393D6184.e.1265"")>"
